,H04,H03,H02,H01
322,0.652,0.657,0.662,0.657
323,0.653,0.658,0.663,0.658
324,0.654,0.657,0.661,0.657
325,0.651,0.658,0.666,0.657
326,0.652,0.66,0.66,0.66
327,0.652,0.657,0.662,0.655
328,0.655,0.654,0.662,0.656
329,0.652,0.657,0.662,0.658
330,0.653,0.656,0.659,0.659
331,0.651,0.656,0.663,0.657
332,0.65,0.656,0.661,0.657
333,0.651,0.66,0.664,0.654
334,0.656,0.658,0.664,0.658
335,0.652,0.66,0.663,0.659
336,0.653,0.657,0.662,0.658
337,0.653,0.658,0.662,0.657
338,0.651,0.658,0.662,0.657
339,0.648,0.659,0.662,0.659
340,0.653,0.657,0.662,0.658
341,0.654,0.658,0.661,0.659
342,0.654,0.656,0.66,0.656
343,0.653,0.658,0.662,0.657
344,0.652,0.657,0.66,0.659
345,0.652,0.658,0.66,0.654
346,0.65,0.659,0.662,0.657
347,0.653,0.656,0.66,0.657
348,0.652,0.657,0.661,0.658
349,0.653,0.659,0.662,0.658
350,0.651,0.655,0.661,0.659
351,0.653,0.655,0.661,0.654
352,0.653,0.656,0.661,0.658
353,0.653,0.659,0.661,0.659
354,0.651,0.659,0.663,0.657
355,0.653,0.657,0.665,0.653
356,0.652,0.659,0.662,0.659
357,0.653,0.656,0.661,0.658
358,0.653,0.657,0.664,0.658
359,0.653,0.654,0.663,0.654
360,0.653,0.658,0.661,0.657
361,0.652,0.658,0.664,0.657
362,0.652,0.658,0.662,0.656
363,0.653,0.657,0.662,0.656
364,0.651,0.657,0.663,0.661
365,0.649,0.658,0.661,0.658
366,0.653,0.658,0.661,0.657
367,0.651,0.657,0.664,0.658
368,0.653,0.658,0.663,0.657
369,0.653,0.657,0.663,0.66
370,0.652,0.656,0.66,0.657
371,0.652,0.656,0.663,0.657
372,0.655,0.658,0.664,0.657
373,0.653,0.657,0.661,0.658
374,0.652,0.659,0.663,0.656
375,0.651,0.657,0.664,0.658
376,0.653,0.657,0.662,0.659
377,0.653,0.658,0.662,0.654
378,0.651,0.656,0.662,0.657
379,0.652,0.656,0.662,0.654
380,0.65,0.656,0.66,0.657
381,0.652,0.657,0.661,0.658
382,0.652,0.659,0.66,0.655
383,0.653,0.656,0.659,0.657
384,0.653,0.657,0.663,0.659
385,0.653,0.659,0.662,0.657
386,0.654,0.657,0.663,0.656
387,0.653,0.657,0.66,0.656
388,0.652,0.659,0.66,0.657
389,0.653,0.657,0.663,0.657
390,0.651,0.655,0.662,0.654
391,0.654,0.656,0.663,0.659
392,0.654,0.659,0.663,0.659
393,0.653,0.656,0.663,0.657
394,0.651,0.658,0.662,0.656
395,0.651,0.659,0.663,0.657
396,0.653,0.659,0.664,0.659
397,0.653,0.658,0.662,0.656
398,0.653,0.657,0.662,0.657
399,0.651,0.659,0.662,0.657
400,0.653,0.655,0.662,0.659
401,0.654,0.657,0.659,0.658
402,0.652,0.658,0.66,0.658
403,0.653,0.657,0.662,0.659
404,0.653,0.656,0.662,0.658
405,0.653,0.654,0.66,0.656
406,0.653,0.659,0.663,0.659
407,0.653,0.658,0.663,0.661
408,0.653,0.658,0.662,0.659
409,0.653,0.659,0.66,0.658
410,0.652,0.655,0.66,0.657
411,0.653,0.657,0.66,0.659
412,0.651,0.657,0.662,0.659
413,0.651,0.655,0.665,0.657
414,0.653,0.657,0.663,0.657
415,0.653,0.657,0.662,0.656
416,0.653,0.658,0.662,0.656
417,0.651,0.658,0.665,0.659
418,0.653,0.657,0.664,0.659
419,0.653,0.657,0.664,0.657
420,0.653,0.658,0.661,0.659
421,0.653,0.657,0.662,0.66
422,0.653,0.657,0.664,0.655
423,0.653,0.658,0.662,0.657
424,0.652,0.658,0.664,0.659
425,0.651,0.659,0.662,0.657
426,0.653,0.657,0.662,0.656
427,0.651,0.659,0.662,0.656
428,0.651,0.657,0.663,0.659
429,0.652,0.656,0.663,0.657
430,0.652,0.656,0.663,0.657
431,0.652,0.657,0.663,0.657
432,0.651,0.658,0.662,0.657
433,0.653,0.654,0.663,0.658
434,0.651,0.657,0.662,0.657
435,0.652,0.66,0.663,0.655
436,0.652,0.657,0.663,0.655
437,0.651,0.659,0.663,0.659
438,0.654,0.658,0.661,0.656
439,0.653,0.658,0.658,0.657
440,0.651,0.655,0.661,0.656
441,0.653,0.657,0.662,0.658
442,0.651,0.658,0.666,0.657
443,0.653,0.657,0.663,0.657
444,0.651,0.657,0.662,0.659
445,0.653,0.658,0.661,0.654
446,0.653,0.658,0.662,0.659
447,0.653,0.657,0.663,0.658
448,0.653,0.654,0.664,0.653
449,0.652,0.657,0.663,0.654
450,0.65,0.658,0.663,0.658
451,0.653,0.656,0.661,0.657
452,0.653,0.654,0.663,0.653
453,0.651,0.66,0.662,0.659
454,0.653,0.657,0.661,0.657
455,0.653,0.657,0.665,0.657
456,0.653,0.657,0.663,0.657
457,0.654,0.661,0.661,0.658
458,0.653,0.658,0.661,0.657
459,0.653,0.657,0.662,0.658
460,0.653,0.66,0.663,0.657
461,0.652,0.656,0.662,0.658
462,0.653,0.658,0.662,0.656
463,0.654,0.658,0.663,0.658
464,0.653,0.658,0.663,0.657
465,0.653,0.658,0.662,0.658
466,0.651,0.657,0.663,0.662
467,0.652,0.654,0.662,0.656
468,0.653,0.656,0.663,0.657
469,0.651,0.658,0.664,0.657
470,0.653,0.657,0.663,0.658
471,0.653,0.658,0.662,0.658
472,0.652,0.661,0.661,0.658
473,0.653,0.657,0.663,0.657
474,0.651,0.658,0.662,0.657
475,0.653,0.657,0.66,0.657
476,0.653,0.658,0.66,0.657
477,0.653,0.656,0.662,0.657
478,0.652,0.658,0.662,0.657
479,0.652,0.657,0.661,0.659
480,0.652,0.659,0.661,0.662
481,0.653,0.658,0.664,0.659
482,0.653,0.656,0.661,0.658
483,0.652,0.657,0.662,0.658
484,0.651,0.658,0.662,0.658
485,0.652,0.658,0.664,0.657
486,0.653,0.656,0.664,0.658
487,0.654,0.658,0.66,0.657
488,0.654,0.656,0.662,0.657
489,0.652,0.658,0.661,0.659
490,0.653,0.658,0.663,0.659
491,0.654,0.659,0.663,0.659
492,0.65,0.659,0.661,0.659
493,0.653,0.656,0.661,0.657
494,0.653,0.662,0.662,0.657
495,0.653,0.658,0.664,0.657
496,0.653,0.658,0.663,0.657
497,0.654,0.658,0.663,0.657
498,0.653,0.657,0.661,0.658
499,0.653,0.657,0.663,0.657
500,0.653,0.657,0.661,0.659
501,0.651,0.658,0.661,0.659
502,0.651,0.661,0.663,0.659
503,0.652,0.658,0.662,0.659
504,0.653,0.658,0.661,0.657
505,0.653,0.657,0.662,0.657
506,0.652,0.657,0.663,0.659
507,0.654,0.657,0.662,0.656
508,0.653,0.657,0.662,0.658
509,0.652,0.658,0.662,0.658
510,0.651,0.658,0.663,0.657
511,0.651,0.658,0.659,0.657
512,0.654,0.66,0.661,0.657
513,0.652,0.657,0.662,0.655
514,0.653,0.66,0.662,0.657
515,0.653,0.656,0.665,0.657
516,0.653,0.658,0.662,0.657
517,0.653,0.657,0.662,0.657
518,0.651,0.659,0.662,0.657
519,0.653,0.654,0.663,0.657
520,0.651,0.656,0.662,0.659
521,0.653,0.657,0.662,0.659
522,0.652,0.66,0.662,0.657
523,0.652,0.658,0.662,0.657
524,0.651,0.656,0.662,0.658
525,0.651,0.657,0.661,0.659
526,0.654,0.656,0.661,0.657
527,0.651,0.659,0.659,0.659
528,0.652,0.657,0.663,0.659
529,0.65,0.659,0.662,0.657
530,0.655,0.654,0.662,0.658
531,0.653,0.655,0.662,0.658
532,0.654,0.657,0.662,0.657
533,0.654,0.658,0.665,0.661
534,0.653,0.657,0.662,0.658
535,0.653,0.657,0.661,0.658
536,0.652,0.657,0.662,0.662
537,0.654,0.657,0.661,0.659
538,0.653,0.655,0.663,0.656
539,0.651,0.658,0.664,0.657
540,0.651,0.658,0.661,0.657
541,0.654,0.657,0.663,0.658
542,0.653,0.661,0.662,0.658
543,0.653,0.658,0.662,0.656
544,0.65,0.658,0.662,0.659
545,0.653,0.657,0.66,0.658
546,0.653,0.656,0.663,0.659
547,0.648,0.657,0.66,0.657
548,0.652,0.656,0.662,0.657
549,0.651,0.658,0.66,0.658
550,0.651,0.657,0.661,0.658
551,0.652,0.657,0.666,0.657
552,0.651,0.656,0.658,0.656
553,0.654,0.657,0.662,0.659
554,0.654,0.657,0.66,0.657
555,0.651,0.657,0.664,0.657
556,0.651,0.659,0.662,0.656
557,0.654,0.657,0.663,0.657
558,0.653,0.657,0.665,0.657
559,0.651,0.657,0.661,0.658
560,0.653,0.658,0.662,0.657
561,0.652,0.656,0.663,0.656
562,0.652,0.656,0.661,0.658
563,0.653,0.659,0.662,0.658
564,0.651,0.659,0.663,0.658
565,0.653,0.659,0.661,0.654
566,0.655,0.655,0.661,0.657
567,0.65,0.659,0.665,0.657
568,0.654,0.657,0.663,0.659
569,0.652,0.659,0.662,0.664
570,0.653,0.658,0.661,0.658
571,0.651,0.657,0.665,0.657
572,0.653,0.656,0.662,0.658
573,0.653,0.657,0.661,0.659
574,0.653,0.659,0.662,0.657
575,0.653,0.657,0.661,0.658
576,0.653,0.657,0.66,0.657
577,0.654,0.657,0.662,0.656
578,0.653,0.656,0.664,0.657
579,0.652,0.658,0.664,0.657
580,0.652,0.655,0.662,0.657
581,0.654,0.657,0.662,0.659
582,0.651,0.657,0.659,0.659
583,0.653,0.657,0.662,0.657
584,0.651,0.657,0.663,0.659
585,0.652,0.658,0.661,0.656
586,0.654,0.657,0.661,0.654
587,0.652,0.66,0.662,0.657
588,0.652,0.655,0.662,0.659
589,0.65,0.659,0.661,0.657
590,0.65,0.657,0.663,0.659
591,0.651,0.66,0.663,0.657
592,0.654,0.66,0.662,0.658
593,0.651,0.656,0.661,0.659
594,0.651,0.657,0.663,0.654
595,0.655,0.657,0.663,0.658
596,0.652,0.658,0.663,0.66
597,0.651,0.657,0.662,0.659
598,0.652,0.657,0.665,0.656
599,0.653,0.656,0.664,0.659
600,0.653,0.656,0.662,0.657
601,0.651,0.657,0.663,0.657
602,0.653,0.657,0.664,0.658
603,0.652,0.658,0.663,0.659
604,0.65,0.657,0.662,0.657
605,0.653,0.658,0.661,0.658
606,0.651,0.657,0.661,0.657
607,0.653,0.657,0.662,0.657
608,0.653,0.658,0.659,0.657
609,0.654,0.659,0.663,0.657
610,0.653,0.658,0.661,0.657
611,0.654,0.66,0.661,0.657
612,0.652,0.657,0.661,0.654
613,0.654,0.658,0.662,0.657
614,0.65,0.658,0.663,0.656
615,0.653,0.658,0.661,0.656
616,0.653,0.657,0.662,0.658
617,0.653,0.656,0.662,0.656
618,0.653,0.657,0.663,0.657
619,0.653,0.657,0.661,0.659
620,0.651,0.657,0.662,0.659
621,0.653,0.657,0.661,0.657
622,0.652,0.658,0.663,0.657
623,0.652,0.656,0.663,0.659
624,0.65,0.656,0.662,0.659
625,0.653,0.657,0.66,0.658
626,0.653,0.658,0.66,0.658
627,0.653,0.657,0.66,0.659
628,0.653,0.657,0.661,0.657
629,0.654,0.658,0.665,0.657
630,0.654,0.657,0.663,0.658
631,0.654,0.657,0.663,0.657
632,0.65,0.658,0.662,0.657
633,0.653,0.657,0.662,0.657
634,0.653,0.658,0.661,0.657
635,0.653,0.656,0.663,0.657
636,0.654,0.658,0.659,0.657
637,0.652,0.656,0.662,0.656
638,0.652,0.657,0.663,0.659
639,0.652,0.656,0.662,0.658
640,0.654,0.657,0.661,0.657
641,0.656,0.655,0.66,0.657
642,0.653,0.659,0.66,0.658
643,0.652,0.656,0.662,0.659
644,0.654,0.658,0.662,0.659
645,0.652,0.658,0.663,0.658
646,0.653,0.659,0.662,0.657
647,0.653,0.659,0.661,0.657
648,0.654,0.655,0.661,0.657
649,0.652,0.658,0.661,0.657
650,0.651,0.657,0.661,0.658
651,0.655,0.656,0.662,0.657
652,0.653,0.658,0.663,0.656
653,0.653,0.659,0.66,0.656
654,0.65,0.658,0.66,0.657
655,0.653,0.658,0.662,0.657
656,0.653,0.656,0.663,0.658
657,0.654,0.657,0.66,0.657
658,0.654,0.657,0.662,0.654
659,0.653,0.657,0.662,0.657
660,0.653,0.656,0.663,0.657
661,0.653,0.658,0.662,0.655
662,0.653,0.656,0.661,0.658
663,0.653,0.657,0.666,0.657
664,0.653,0.66,0.661,0.658
665,0.648,0.657,0.663,0.657
666,0.651,0.657,0.663,0.657
667,0.651,0.658,0.663,0.659
668,0.654,0.656,0.661,0.655
669,0.653,0.659,0.662,0.658
670,0.653,0.657,0.664,0.657
671,0.653,0.657,0.662,0.656
672,0.652,0.658,0.664,0.659
673,0.653,0.654,0.664,0.655
674,0.653,0.657,0.659,0.656
675,0.653,0.656,0.663,0.659
676,0.653,0.659,0.662,0.657
677,0.651,0.656,0.663,0.658
678,0.653,0.659,0.664,0.658
679,0.653,0.66,0.662,0.656
680,0.651,0.658,0.661,0.659
681,0.651,0.657,0.662,0.659
682,0.653,0.659,0.663,0.656
683,0.653,0.659,0.662,0.659
684,0.648,0.656,0.661,0.659
685,0.65,0.658,0.66,0.657
686,0.653,0.657,0.659,0.657
687,0.653,0.657,0.663,0.658
688,0.651,0.658,0.662,0.656
689,0.653,0.658,0.662,0.657
690,0.653,0.658,0.663,0.656
691,0.653,0.658,0.661,0.659
692,0.654,0.658,0.664,0.657
693,0.652,0.658,0.663,0.657
694,0.651,0.655,0.663,0.657
695,0.652,0.658,0.663,0.656
696,0.653,0.657,0.661,0.657
697,0.653,0.659,0.664,0.657
698,0.653,0.658,0.663,0.659
699,0.653,0.658,0.66,0.657
700,0.65,0.657,0.661,0.657
701,0.654,0.657,0.664,0.656
702,0.653,0.66,0.662,0.659
703,0.652,0.658,0.664,0.657
704,0.649,0.657,0.661,0.658
705,0.651,0.66,0.662,0.658
706,0.651,0.657,0.663,0.657
707,0.653,0.658,0.66,0.659
708,0.653,0.657,0.661,0.658
709,0.653,0.656,0.663,0.658
710,0.651,0.657,0.663,0.657
711,0.651,0.657,0.666,0.658
712,0.653,0.658,0.662,0.657
713,0.653,0.657,0.662,0.659
714,0.654,0.655,0.659,0.658
715,0.653,0.657,0.666,0.657
716,0.652,0.658,0.66,0.657
717,0.653,0.657,0.661,0.661
718,0.651,0.655,0.663,0.658
719,0.65,0.66,0.662,0.657
720,0.652,0.658,0.662,0.658
721,0.652,0.657,0.662,0.657
722,0.651,0.657,0.662,0.657
723,0.653,0.658,0.661,0.655
724,0.653,0.657,0.663,0.66
725,0.651,0.658,0.661,0.658
726,0.652,0.655,0.661,0.657
727,0.653,0.66,0.662,0.657
728,0.653,0.658,0.661,0.657
729,0.651,0.658,0.663,0.657
730,0.653,0.657,0.66,0.656
731,0.652,0.659,0.662,0.659
732,0.652,0.657,0.662,0.657
733,0.651,0.658,0.662,0.654
734,0.652,0.658,0.661,0.658
735,0.651,0.658,0.66,0.661
736,0.654,0.658,0.664,0.657
737,0.653,0.658,0.66,0.654
738,0.653,0.657,0.661,0.658
739,0.653,0.658,0.662,0.656
740,0.653,0.657,0.662,0.657
741,0.653,0.659,0.663,0.656
742,0.651,0.657,0.659,0.659
743,0.654,0.659,0.661,0.657
744,0.651,0.658,0.662,0.659
745,0.653,0.658,0.664,0.656
746,0.652,0.658,0.662,0.658
747,0.653,0.656,0.662,0.657
748,0.653,0.657,0.662,0.654
749,0.653,0.655,0.662,0.657
750,0.653,0.659,0.663,0.658
751,0.651,0.658,0.661,0.664
752,0.653,0.654,0.663,0.657
753,0.653,0.657,0.662,0.656
754,0.654,0.655,0.662,0.654
755,0.653,0.657,0.66,0.664
756,0.651,0.66,0.664,0.657
757,0.651,0.659,0.664,0.657
758,0.651,0.653,0.665,0.656
759,0.654,0.658,0.663,0.656
760,0.653,0.659,0.662,0.657
761,0.653,0.657,0.662,0.657
762,0.653,0.659,0.662,0.66
763,0.649,0.658,0.663,0.66
764,0.65,0.657,0.664,0.658
765,0.653,0.658,0.661,0.661
766,0.652,0.657,0.662,0.657
767,0.654,0.657,0.662,0.659
768,0.65,0.656,0.664,0.657
769,0.651,0.656,0.66,0.657
770,0.65,0.657,0.662,0.659
771,0.651,0.655,0.663,0.656
772,0.654,0.658,0.663,0.658
773,0.654,0.656,0.661,0.657
774,0.653,0.657,0.662,0.66
