,H04,H03,H02,H01
3990,0.652,0.659,0.663,0.658
3991,0.653,0.657,0.662,0.658
3992,0.653,0.654,0.663,0.656
3993,0.653,0.656,0.661,0.658
3994,0.653,0.658,0.661,0.656
3995,0.653,0.658,0.66,0.657
3996,0.651,0.66,0.663,0.656
3997,0.651,0.658,0.662,0.658
3998,0.653,0.657,0.662,0.659
3999,0.652,0.658,0.662,0.661
4000,0.654,0.656,0.663,0.66
4001,0.654,0.657,0.661,0.654
4002,0.653,0.657,0.662,0.657
4003,0.654,0.658,0.662,0.656
4004,0.65,0.658,0.663,0.654
4005,0.651,0.66,0.663,0.659
4006,0.653,0.658,0.662,0.658
4007,0.652,0.658,0.662,0.657
4008,0.653,0.657,0.661,0.657
4009,0.652,0.657,0.661,0.656
4010,0.652,0.656,0.661,0.657
4011,0.653,0.659,0.66,0.658
4012,0.653,0.66,0.663,0.658
4013,0.653,0.657,0.664,0.657
4014,0.652,0.656,0.659,0.654
4015,0.651,0.658,0.662,0.658
4016,0.653,0.658,0.662,0.657
4017,0.65,0.656,0.662,0.657
4018,0.653,0.658,0.663,0.657
4019,0.653,0.658,0.659,0.657
4020,0.652,0.658,0.663,0.654
4021,0.652,0.658,0.664,0.658
4022,0.653,0.657,0.663,0.656
4023,0.652,0.656,0.661,0.658
4024,0.653,0.657,0.662,0.657
4025,0.652,0.657,0.662,0.657
4026,0.653,0.657,0.663,0.657
4027,0.649,0.656,0.661,0.657
4028,0.654,0.657,0.662,0.659
4029,0.651,0.656,0.663,0.657
4030,0.654,0.659,0.661,0.658
4031,0.652,0.658,0.66,0.658
4032,0.653,0.658,0.662,0.657
4033,0.653,0.657,0.659,0.657
4034,0.653,0.658,0.659,0.657
4035,0.653,0.656,0.662,0.657
4036,0.653,0.655,0.662,0.657
4037,0.651,0.657,0.661,0.657
4038,0.653,0.658,0.661,0.655
4039,0.653,0.657,0.662,0.659
4040,0.65,0.657,0.661,0.659
4041,0.654,0.658,0.662,0.656
4042,0.653,0.654,0.661,0.657
4043,0.653,0.658,0.66,0.657
4044,0.653,0.658,0.662,0.656
4045,0.653,0.658,0.664,0.656
4046,0.651,0.658,0.662,0.658
4047,0.653,0.657,0.663,0.657
4048,0.653,0.663,0.662,0.657
4049,0.653,0.656,0.662,0.657
4050,0.651,0.658,0.665,0.657
4051,0.653,0.658,0.663,0.658
4052,0.653,0.656,0.663,0.657
4053,0.653,0.658,0.66,0.656
4054,0.653,0.658,0.663,0.659
4055,0.654,0.656,0.66,0.658
4056,0.651,0.661,0.662,0.657
4057,0.654,0.657,0.662,0.658
4058,0.651,0.657,0.661,0.657
4059,0.651,0.66,0.66,0.656
4060,0.651,0.657,0.662,0.657
4061,0.652,0.654,0.663,0.661
4062,0.651,0.655,0.661,0.657
4063,0.653,0.658,0.66,0.658
4064,0.653,0.657,0.662,0.658
4065,0.654,0.658,0.662,0.658
4066,0.653,0.657,0.663,0.658
4067,0.653,0.658,0.662,0.656
4068,0.653,0.659,0.661,0.659
4069,0.651,0.655,0.662,0.657
4070,0.651,0.657,0.658,0.656
4071,0.653,0.657,0.661,0.657
4072,0.654,0.657,0.662,0.657
4073,0.652,0.658,0.662,0.656
4074,0.652,0.659,0.665,0.657
4075,0.652,0.658,0.662,0.654
4076,0.653,0.658,0.663,0.658
4077,0.653,0.658,0.662,0.657
4078,0.652,0.658,0.662,0.658
4079,0.65,0.658,0.662,0.656
4080,0.653,0.657,0.663,0.658
4081,0.653,0.656,0.659,0.658
4082,0.651,0.658,0.662,0.658
4083,0.653,0.658,0.663,0.659
4084,0.654,0.657,0.662,0.658
4085,0.653,0.659,0.66,0.657
4086,0.653,0.661,0.661,0.658
4087,0.651,0.658,0.661,0.654
4088,0.653,0.659,0.664,0.658
4089,0.653,0.658,0.662,0.656
4090,0.653,0.659,0.662,0.657
4091,0.653,0.657,0.662,0.659
4092,0.651,0.657,0.662,0.657
4093,0.654,0.657,0.661,0.656
4094,0.651,0.658,0.662,0.657
4095,0.652,0.657,0.66,0.657
4096,0.653,0.656,0.663,0.661
4097,0.653,0.658,0.66,0.658
4098,0.651,0.656,0.663,0.656
4099,0.652,0.658,0.662,0.658
4100,0.651,0.656,0.662,0.658
4101,0.653,0.658,0.66,0.658
4102,0.652,0.658,0.662,0.657
4103,0.652,0.658,0.662,0.657
4104,0.653,0.656,0.662,0.658
4105,0.653,0.657,0.662,0.658
4106,0.651,0.657,0.663,0.657
4107,0.649,0.657,0.663,0.659
4108,0.652,0.655,0.663,0.658
4109,0.653,0.658,0.662,0.656
4110,0.653,0.657,0.661,0.656
4111,0.651,0.66,0.663,0.656
4112,0.653,0.659,0.662,0.659
4113,0.652,0.658,0.662,0.657
4114,0.653,0.653,0.663,0.657
4115,0.653,0.657,0.663,0.658
4116,0.653,0.656,0.663,0.657
4117,0.652,0.659,0.662,0.658
4118,0.652,0.657,0.664,0.658
4119,0.653,0.659,0.663,0.657
4120,0.653,0.656,0.662,0.659
4121,0.651,0.657,0.663,0.656
4122,0.653,0.657,0.662,0.659
4123,0.654,0.655,0.663,0.656
4124,0.653,0.655,0.663,0.659
4125,0.655,0.657,0.664,0.657
4126,0.652,0.658,0.662,0.654
4127,0.653,0.661,0.663,0.657
4128,0.653,0.657,0.662,0.657
4129,0.654,0.657,0.662,0.657
4130,0.653,0.658,0.662,0.657
4131,0.653,0.661,0.661,0.658
4132,0.653,0.658,0.662,0.659
4133,0.655,0.656,0.664,0.658
4134,0.651,0.656,0.661,0.657
4135,0.653,0.658,0.663,0.658
4136,0.654,0.657,0.662,0.657
4137,0.653,0.658,0.662,0.656
4138,0.653,0.658,0.662,0.659
4139,0.652,0.655,0.662,0.659
4140,0.654,0.655,0.662,0.657
4141,0.654,0.656,0.662,0.657
4142,0.65,0.657,0.661,0.656
4143,0.652,0.658,0.662,0.657
4144,0.656,0.658,0.662,0.657
4145,0.651,0.658,0.663,0.657
4146,0.653,0.657,0.659,0.657
4147,0.653,0.657,0.663,0.659
4148,0.653,0.659,0.662,0.657
4149,0.653,0.658,0.661,0.659
4150,0.652,0.658,0.659,0.659
4151,0.653,0.658,0.661,0.657
4152,0.652,0.658,0.661,0.657
4153,0.653,0.658,0.663,0.657
4154,0.653,0.659,0.662,0.657
4155,0.654,0.66,0.66,0.657
4156,0.65,0.657,0.661,0.654
4157,0.653,0.658,0.662,0.658
4158,0.653,0.658,0.663,0.657
4159,0.652,0.656,0.663,0.656
4160,0.653,0.657,0.661,0.655
4161,0.652,0.659,0.66,0.657
4162,0.653,0.657,0.662,0.659
4163,0.654,0.657,0.663,0.659
4164,0.651,0.659,0.663,0.658
4165,0.652,0.655,0.662,0.661
4166,0.653,0.658,0.661,0.659
4167,0.653,0.658,0.664,0.657
4168,0.652,0.658,0.661,0.655
4169,0.652,0.657,0.663,0.656
4170,0.651,0.658,0.662,0.658
4171,0.654,0.657,0.662,0.656
4172,0.651,0.659,0.663,0.658
4173,0.654,0.658,0.663,0.657
4174,0.653,0.656,0.662,0.658
4175,0.653,0.661,0.662,0.657
4176,0.653,0.658,0.662,0.656
4177,0.653,0.658,0.662,0.659
4178,0.653,0.657,0.661,0.657
4179,0.652,0.657,0.662,0.658
4180,0.649,0.657,0.662,0.654
4181,0.653,0.659,0.661,0.658
4182,0.652,0.655,0.661,0.657
4183,0.653,0.657,0.661,0.659
4184,0.654,0.658,0.66,0.657
4185,0.653,0.658,0.662,0.656
4186,0.65,0.657,0.662,0.659
4187,0.652,0.657,0.663,0.657
4188,0.651,0.659,0.663,0.654
4189,0.653,0.658,0.661,0.657
4190,0.654,0.659,0.661,0.657
4191,0.655,0.658,0.662,0.657
4192,0.654,0.66,0.66,0.658
4193,0.653,0.657,0.663,0.657
4194,0.654,0.658,0.662,0.657
4195,0.651,0.656,0.664,0.657
4196,0.653,0.656,0.661,0.657
4197,0.652,0.658,0.663,0.657
4198,0.653,0.657,0.663,0.657
4199,0.653,0.657,0.66,0.656
4200,0.651,0.656,0.662,0.658
4201,0.653,0.657,0.662,0.657
4202,0.655,0.656,0.662,0.657
4203,0.653,0.66,0.662,0.658
4204,0.652,0.658,0.663,0.659
4205,0.651,0.657,0.662,0.657
4206,0.653,0.657,0.661,0.657
4207,0.656,0.658,0.661,0.657
4208,0.651,0.659,0.663,0.659
4209,0.653,0.654,0.662,0.659
4210,0.653,0.659,0.664,0.656
4211,0.655,0.658,0.662,0.657
4212,0.652,0.66,0.663,0.656
4213,0.652,0.657,0.663,0.659
4214,0.652,0.657,0.662,0.657
4215,0.653,0.658,0.663,0.654
4216,0.653,0.658,0.66,0.658
4217,0.651,0.658,0.662,0.656
4218,0.654,0.657,0.662,0.658
4219,0.651,0.658,0.664,0.657
4220,0.653,0.658,0.661,0.659
4221,0.652,0.658,0.662,0.658
4222,0.653,0.657,0.663,0.656
4223,0.654,0.658,0.661,0.657
4224,0.653,0.657,0.662,0.658
4225,0.654,0.657,0.663,0.657
4226,0.65,0.657,0.662,0.659
4227,0.653,0.658,0.661,0.659
4228,0.655,0.656,0.662,0.658
4229,0.651,0.657,0.662,0.658
4230,0.654,0.656,0.66,0.656
4231,0.651,0.658,0.661,0.657
4232,0.651,0.66,0.662,0.657
4233,0.654,0.657,0.661,0.657
4234,0.652,0.655,0.66,0.659
4235,0.653,0.656,0.662,0.657
4236,0.653,0.658,0.661,0.657
4237,0.653,0.656,0.66,0.657
4238,0.653,0.656,0.662,0.656
4239,0.653,0.658,0.663,0.657
4240,0.654,0.656,0.662,0.659
4241,0.653,0.657,0.663,0.657
4242,0.651,0.657,0.661,0.659
4243,0.652,0.658,0.66,0.658
4244,0.653,0.659,0.663,0.658
4245,0.653,0.658,0.662,0.657
4246,0.649,0.655,0.663,0.659
4247,0.651,0.658,0.662,0.657
4248,0.653,0.655,0.661,0.657
4249,0.653,0.659,0.662,0.659
4250,0.653,0.656,0.661,0.658
4251,0.653,0.658,0.662,0.654
4252,0.653,0.659,0.66,0.654
4253,0.654,0.659,0.661,0.658
4254,0.653,0.657,0.662,0.657
4255,0.653,0.657,0.663,0.657
4256,0.653,0.655,0.663,0.656
4257,0.654,0.659,0.663,0.659
4258,0.651,0.656,0.661,0.658
4259,0.653,0.658,0.663,0.656
4260,0.649,0.658,0.662,0.657
4261,0.653,0.658,0.661,0.656
4262,0.653,0.657,0.661,0.656
4263,0.653,0.657,0.659,0.657
4264,0.653,0.658,0.662,0.658
4265,0.651,0.656,0.66,0.66
4266,0.653,0.656,0.662,0.659
4267,0.653,0.658,0.663,0.657
4268,0.653,0.658,0.662,0.658
4269,0.65,0.659,0.662,0.657
4270,0.653,0.657,0.662,0.658
4271,0.653,0.658,0.662,0.654
4272,0.654,0.657,0.663,0.657
4273,0.653,0.657,0.659,0.656
4274,0.656,0.658,0.663,0.659
4275,0.654,0.656,0.662,0.657
4276,0.653,0.659,0.662,0.657
4277,0.651,0.659,0.661,0.659
4278,0.655,0.661,0.663,0.656
4279,0.651,0.655,0.662,0.656
4280,0.649,0.658,0.662,0.659
4281,0.653,0.655,0.664,0.658
4282,0.653,0.656,0.661,0.656
4283,0.651,0.657,0.664,0.658
4284,0.653,0.657,0.661,0.656
4285,0.652,0.657,0.661,0.657
4286,0.652,0.658,0.661,0.659
4287,0.653,0.658,0.661,0.658
4288,0.653,0.658,0.664,0.657
4289,0.653,0.658,0.663,0.657
4290,0.654,0.658,0.662,0.657
4291,0.65,0.656,0.662,0.657
4292,0.653,0.657,0.662,0.657
4293,0.653,0.655,0.662,0.658
4294,0.652,0.658,0.662,0.658
4295,0.651,0.657,0.661,0.659
4296,0.651,0.657,0.663,0.657
4297,0.649,0.657,0.664,0.657
4298,0.652,0.656,0.661,0.657
4299,0.652,0.657,0.662,0.657
4300,0.649,0.658,0.663,0.657
4301,0.653,0.657,0.661,0.659
4302,0.652,0.659,0.662,0.657
4303,0.653,0.659,0.66,0.658
4304,0.651,0.658,0.661,0.657
4305,0.654,0.656,0.662,0.657
4306,0.652,0.656,0.663,0.659
4307,0.652,0.656,0.661,0.658
4308,0.653,0.657,0.664,0.656
4309,0.653,0.659,0.661,0.659
4310,0.652,0.656,0.662,0.659
4311,0.65,0.657,0.661,0.659
4312,0.65,0.655,0.663,0.66
4313,0.653,0.659,0.663,0.659
4314,0.651,0.658,0.662,0.659
4315,0.653,0.656,0.662,0.659
4316,0.653,0.657,0.663,0.657
4317,0.653,0.658,0.661,0.658
4318,0.653,0.659,0.659,0.657
4319,0.652,0.657,0.661,0.656
4320,0.651,0.659,0.661,0.656
4321,0.654,0.657,0.661,0.659
4322,0.652,0.658,0.662,0.657
4323,0.653,0.657,0.662,0.658
4324,0.65,0.657,0.66,0.656
4325,0.653,0.657,0.66,0.659
4326,0.653,0.655,0.662,0.659
4327,0.652,0.656,0.662,0.66
4328,0.649,0.657,0.661,0.656
4329,0.653,0.657,0.661,0.659
4330,0.653,0.658,0.663,0.657
4331,0.652,0.657,0.663,0.659
4332,0.653,0.659,0.662,0.657
4333,0.656,0.659,0.664,0.657
4334,0.653,0.656,0.662,0.657
4335,0.653,0.658,0.661,0.657
4336,0.65,0.657,0.662,0.657
4337,0.653,0.655,0.661,0.659
4338,0.653,0.654,0.662,0.657
4339,0.652,0.657,0.664,0.659
4340,0.649,0.656,0.664,0.659
4341,0.653,0.657,0.661,0.657
4342,0.654,0.657,0.66,0.658
4343,0.651,0.657,0.661,0.657
4344,0.651,0.656,0.662,0.656
4345,0.654,0.657,0.661,0.658
4346,0.649,0.659,0.663,0.659
4347,0.653,0.656,0.661,0.659
4348,0.653,0.66,0.663,0.657
4349,0.654,0.66,0.662,0.658
4350,0.651,0.657,0.663,0.657
4351,0.649,0.659,0.662,0.659
4352,0.653,0.658,0.661,0.657
4353,0.653,0.657,0.662,0.657
4354,0.652,0.657,0.662,0.657
4355,0.653,0.659,0.66,0.654
4356,0.651,0.657,0.663,0.657
4357,0.652,0.658,0.662,0.656
4358,0.653,0.658,0.662,0.659
4359,0.653,0.659,0.662,0.656
4360,0.652,0.658,0.662,0.658
4361,0.653,0.657,0.661,0.657
4362,0.653,0.658,0.662,0.656
4363,0.654,0.657,0.662,0.659
4364,0.652,0.655,0.661,0.659
4365,0.65,0.658,0.662,0.656
4366,0.654,0.658,0.662,0.658
4367,0.651,0.657,0.661,0.657
4368,0.652,0.658,0.66,0.659
4369,0.652,0.655,0.663,0.657
4370,0.653,0.659,0.663,0.656
4371,0.653,0.658,0.664,0.656
4372,0.653,0.656,0.662,0.658
4373,0.654,0.657,0.664,0.657
4374,0.652,0.657,0.662,0.657
4375,0.654,0.658,0.664,0.658
4376,0.653,0.655,0.663,0.658
4377,0.653,0.657,0.662,0.658
4378,0.653,0.657,0.662,0.658
4379,0.653,0.658,0.662,0.654
4380,0.653,0.657,0.661,0.657
4381,0.651,0.657,0.66,0.658
4382,0.653,0.657,0.663,0.657
4383,0.651,0.658,0.661,0.658
4384,0.653,0.657,0.661,0.657
4385,0.653,0.657,0.662,0.657
4386,0.652,0.657,0.663,0.656
4387,0.653,0.658,0.663,0.657
4388,0.653,0.658,0.664,0.657
4389,0.653,0.656,0.662,0.657
4390,0.651,0.658,0.663,0.657
4391,0.652,0.658,0.663,0.658
4392,0.653,0.656,0.662,0.658
4393,0.654,0.658,0.663,0.659
4394,0.653,0.657,0.663,0.658
4395,0.653,0.659,0.662,0.659
4396,0.653,0.659,0.663,0.659
4397,0.653,0.658,0.662,0.657
4398,0.653,0.657,0.663,0.659
4399,0.654,0.658,0.664,0.657
4400,0.655,0.658,0.662,0.657
4401,0.651,0.656,0.663,0.655
4402,0.651,0.659,0.661,0.656
4403,0.654,0.658,0.662,0.657
4404,0.651,0.657,0.662,0.658
4405,0.651,0.659,0.661,0.657
4406,0.651,0.66,0.662,0.656
4407,0.652,0.657,0.663,0.657
4408,0.648,0.657,0.66,0.654
4409,0.653,0.657,0.663,0.658
4410,0.651,0.657,0.663,0.655
4411,0.653,0.655,0.661,0.657
4412,0.651,0.658,0.661,0.656
4413,0.655,0.657,0.662,0.657
4414,0.653,0.658,0.66,0.657
4415,0.651,0.658,0.662,0.657
4416,0.653,0.657,0.659,0.658
4417,0.653,0.657,0.663,0.658
4418,0.65,0.658,0.661,0.654
4419,0.651,0.658,0.661,0.658
4420,0.653,0.658,0.662,0.656
4421,0.654,0.658,0.661,0.658
4422,0.654,0.659,0.662,0.656
4423,0.653,0.657,0.662,0.659
4424,0.651,0.655,0.661,0.654
4425,0.651,0.657,0.664,0.657
4426,0.651,0.657,0.663,0.657
4427,0.653,0.656,0.662,0.654
4428,0.654,0.656,0.662,0.657
4429,0.653,0.659,0.659,0.658
4430,0.653,0.66,0.662,0.658
4431,0.653,0.656,0.664,0.656
4432,0.654,0.657,0.662,0.659
4433,0.653,0.658,0.662,0.657
4434,0.653,0.657,0.663,0.658
4435,0.653,0.658,0.663,0.659
4436,0.654,0.658,0.663,0.657
4437,0.653,0.658,0.662,0.656
4438,0.651,0.658,0.662,0.659
4439,0.653,0.658,0.661,0.657
4440,0.653,0.657,0.662,0.657
4441,0.649,0.656,0.662,0.658
4442,0.653,0.659,0.663,0.657
4443,0.653,0.66,0.662,0.654
4444,0.651,0.655,0.661,0.659
4445,0.652,0.657,0.663,0.661
4446,0.651,0.657,0.661,0.657
4447,0.65,0.658,0.66,0.659
4448,0.653,0.657,0.662,0.659
4449,0.652,0.656,0.663,0.659
4450,0.653,0.656,0.663,0.654
4451,0.651,0.658,0.663,0.658
4452,0.653,0.658,0.663,0.659
4453,0.654,0.658,0.662,0.654
4454,0.653,0.658,0.663,0.658
4455,0.648,0.658,0.661,0.657
4456,0.652,0.658,0.662,0.656
4457,0.651,0.658,0.662,0.658
4458,0.654,0.657,0.661,0.657
4459,0.653,0.66,0.662,0.658
4460,0.653,0.657,0.662,0.658
4461,0.653,0.66,0.662,0.659
4462,0.653,0.657,0.663,0.659
4463,0.653,0.66,0.663,0.657
4464,0.651,0.658,0.662,0.657
4465,0.653,0.658,0.663,0.659
4466,0.65,0.658,0.661,0.657
4467,0.651,0.659,0.664,0.657
4468,0.651,0.658,0.663,0.659
4469,0.653,0.658,0.663,0.658
4470,0.653,0.659,0.663,0.657
4471,0.653,0.658,0.661,0.659
4472,0.653,0.659,0.663,0.657
4473,0.653,0.657,0.663,0.659
4474,0.653,0.659,0.661,0.655
4475,0.652,0.658,0.663,0.656
4476,0.651,0.657,0.664,0.658
4477,0.651,0.657,0.661,0.656
4478,0.65,0.656,0.662,0.658
4479,0.65,0.657,0.662,0.656
4480,0.654,0.656,0.662,0.658
4481,0.653,0.658,0.664,0.657
4482,0.651,0.659,0.661,0.658
4483,0.653,0.658,0.661,0.657
4484,0.653,0.656,0.662,0.659
4485,0.653,0.655,0.66,0.656
4486,0.651,0.656,0.662,0.656
4487,0.653,0.654,0.66,0.659
4488,0.653,0.657,0.662,0.657
4489,0.653,0.659,0.66,0.657
4490,0.655,0.66,0.66,0.654
4491,0.653,0.658,0.662,0.657
4492,0.653,0.658,0.661,0.659
4493,0.653,0.659,0.662,0.658
4494,0.653,0.657,0.661,0.657
4495,0.652,0.655,0.663,0.657
4496,0.653,0.657,0.663,0.658
4497,0.653,0.658,0.66,0.657
4498,0.651,0.658,0.662,0.655
4499,0.653,0.658,0.663,0.659
4500,0.652,0.66,0.663,0.656
4501,0.653,0.658,0.661,0.657
4502,0.652,0.658,0.661,0.659
4503,0.653,0.655,0.663,0.658
4504,0.655,0.658,0.662,0.657
4505,0.653,0.657,0.661,0.659
4506,0.651,0.657,0.66,0.655
4507,0.651,0.659,0.664,0.659
4508,0.653,0.657,0.663,0.657
4509,0.652,0.656,0.661,0.657
4510,0.651,0.654,0.662,0.659
4511,0.653,0.657,0.664,0.66
4512,0.651,0.655,0.662,0.656
4513,0.653,0.656,0.662,0.658
4514,0.652,0.657,0.663,0.657
4515,0.651,0.657,0.662,0.659
4516,0.65,0.656,0.662,0.657
4517,0.652,0.658,0.661,0.657
4518,0.653,0.657,0.662,0.659
4519,0.651,0.658,0.664,0.659
4520,0.651,0.657,0.661,0.657
4521,0.653,0.656,0.659,0.659
4522,0.653,0.657,0.662,0.657
4523,0.653,0.659,0.662,0.657
4524,0.653,0.658,0.662,0.658
4525,0.653,0.657,0.661,0.657
4526,0.648,0.658,0.66,0.658
4527,0.653,0.658,0.661,0.657
4528,0.651,0.656,0.662,0.657
4529,0.653,0.657,0.661,0.658
4530,0.652,0.656,0.662,0.659
4531,0.653,0.658,0.662,0.657
4532,0.653,0.657,0.66,0.659
4533,0.651,0.659,0.661,0.657
4534,0.653,0.659,0.661,0.657
4535,0.651,0.657,0.663,0.658
4536,0.651,0.655,0.661,0.659
4537,0.653,0.659,0.663,0.657
4538,0.654,0.658,0.662,0.66
4539,0.653,0.658,0.663,0.658
4540,0.651,0.658,0.662,0.657
4541,0.653,0.658,0.662,0.657
4542,0.653,0.658,0.663,0.657
4543,0.653,0.657,0.662,0.657
4544,0.651,0.659,0.661,0.659
4545,0.653,0.659,0.663,0.659
4546,0.653,0.658,0.663,0.657
4547,0.653,0.658,0.662,0.658
4548,0.653,0.659,0.663,0.657
4549,0.653,0.658,0.663,0.657
4550,0.651,0.66,0.662,0.657
4551,0.654,0.657,0.662,0.654
4552,0.651,0.656,0.661,0.658
4553,0.652,0.657,0.66,0.657
4554,0.652,0.658,0.659,0.657
4555,0.654,0.655,0.662,0.657
4556,0.653,0.656,0.66,0.658
4557,0.653,0.657,0.663,0.657
4558,0.655,0.658,0.662,0.657
4559,0.651,0.659,0.662,0.657
4560,0.651,0.655,0.662,0.661
4561,0.653,0.656,0.662,0.658
4562,0.653,0.657,0.662,0.658
4563,0.652,0.657,0.661,0.657
4564,0.653,0.656,0.663,0.656
4565,0.654,0.659,0.661,0.655
4566,0.653,0.66,0.663,0.657
4567,0.653,0.657,0.662,0.659
4568,0.653,0.657,0.662,0.659
4569,0.651,0.657,0.662,0.658
4570,0.653,0.656,0.663,0.657
4571,0.651,0.658,0.662,0.659
4572,0.653,0.658,0.66,0.658
4573,0.655,0.657,0.66,0.655
4574,0.653,0.656,0.661,0.657
4575,0.653,0.659,0.661,0.658
4576,0.653,0.657,0.662,0.657
4577,0.652,0.659,0.662,0.659
4578,0.649,0.657,0.662,0.658
4579,0.653,0.655,0.662,0.659
4580,0.652,0.655,0.66,0.657
4581,0.654,0.655,0.662,0.657
4582,0.653,0.656,0.662,0.659
4583,0.65,0.658,0.662,0.657
4584,0.653,0.657,0.662,0.657
4585,0.653,0.658,0.663,0.659
4586,0.653,0.659,0.663,0.657
4587,0.652,0.659,0.663,0.657
4588,0.652,0.659,0.663,0.657
4589,0.653,0.657,0.659,0.657
4590,0.653,0.657,0.661,0.658
4591,0.654,0.659,0.662,0.658
4592,0.653,0.657,0.662,0.659
4593,0.653,0.658,0.661,0.656
4594,0.652,0.657,0.661,0.659
4595,0.651,0.657,0.662,0.658
4596,0.653,0.656,0.663,0.657
4597,0.654,0.656,0.663,0.659
4598,0.652,0.656,0.663,0.659
4599,0.652,0.655,0.665,0.657
4600,0.653,0.659,0.662,0.658
4601,0.653,0.658,0.661,0.654
4602,0.653,0.658,0.663,0.657
4603,0.651,0.658,0.664,0.654
4604,0.652,0.657,0.663,0.659
4605,0.652,0.658,0.662,0.657
4606,0.654,0.656,0.663,0.657
4607,0.653,0.66,0.662,0.658
4608,0.651,0.654,0.663,0.659
4609,0.657,0.659,0.662,0.658
4610,0.653,0.656,0.662,0.659
4611,0.653,0.657,0.663,0.657
4612,0.651,0.657,0.662,0.659
4613,0.653,0.658,0.662,0.656
4614,0.653,0.657,0.659,0.659
4615,0.655,0.658,0.662,0.658
4616,0.654,0.657,0.663,0.657
4617,0.653,0.657,0.66,0.657
4618,0.65,0.657,0.662,0.658
4619,0.655,0.657,0.663,0.657
4620,0.652,0.656,0.662,0.658
4621,0.653,0.655,0.662,0.659
4622,0.65,0.654,0.662,0.658
4623,0.653,0.658,0.662,0.659
4624,0.655,0.656,0.66,0.659
4625,0.653,0.657,0.663,0.657
4626,0.653,0.656,0.662,0.661
4627,0.653,0.656,0.66,0.656
4628,0.655,0.657,0.662,0.656
4629,0.651,0.657,0.66,0.659
4630,0.652,0.656,0.663,0.657
4631,0.651,0.658,0.662,0.658
4632,0.653,0.657,0.662,0.656
4633,0.653,0.66,0.661,0.659
4634,0.651,0.657,0.662,0.656
4635,0.65,0.657,0.66,0.659
4636,0.653,0.659,0.663,0.659
4637,0.653,0.657,0.664,0.656
4638,0.653,0.656,0.663,0.657
4639,0.652,0.657,0.663,0.657
4640,0.652,0.658,0.663,0.657
4641,0.653,0.656,0.665,0.656
4642,0.653,0.658,0.66,0.658
4643,0.653,0.658,0.663,0.658
4644,0.653,0.654,0.663,0.656
4645,0.652,0.657,0.66,0.658
4646,0.653,0.657,0.661,0.656
4647,0.653,0.657,0.663,0.656
4648,0.653,0.655,0.662,0.659
4649,0.653,0.657,0.662,0.657
4650,0.652,0.656,0.66,0.658
4651,0.653,0.654,0.661,0.657
4652,0.653,0.656,0.661,0.656
4653,0.654,0.659,0.662,0.66
4654,0.653,0.659,0.665,0.657
4655,0.652,0.659,0.661,0.659
4656,0.654,0.656,0.662,0.658
4657,0.652,0.658,0.661,0.657
4658,0.653,0.658,0.663,0.658
4659,0.653,0.656,0.664,0.658
4660,0.653,0.657,0.663,0.657
4661,0.653,0.658,0.662,0.659
4662,0.653,0.656,0.662,0.657
4663,0.653,0.657,0.661,0.657
4664,0.651,0.658,0.663,0.656
4665,0.653,0.656,0.661,0.658
4666,0.653,0.656,0.662,0.658
4667,0.653,0.656,0.662,0.657
4668,0.651,0.658,0.663,0.658
4669,0.654,0.658,0.663,0.657
4670,0.653,0.658,0.664,0.658
4671,0.651,0.657,0.663,0.658
4672,0.651,0.658,0.663,0.656
4673,0.653,0.657,0.662,0.658
4674,0.652,0.658,0.662,0.657
4675,0.655,0.659,0.665,0.657
4676,0.652,0.658,0.662,0.657
4677,0.653,0.657,0.663,0.659
4678,0.652,0.659,0.662,0.659
4679,0.653,0.656,0.663,0.654
4680,0.652,0.657,0.66,0.656
4681,0.651,0.657,0.662,0.659
4682,0.652,0.656,0.662,0.659
4683,0.652,0.657,0.66,0.657
4684,0.653,0.657,0.662,0.657
4685,0.653,0.659,0.663,0.656
4686,0.653,0.658,0.662,0.659
4687,0.653,0.656,0.66,0.657
4688,0.653,0.657,0.66,0.657
4689,0.652,0.658,0.662,0.659
4690,0.653,0.657,0.662,0.657
4691,0.651,0.658,0.66,0.654
4692,0.655,0.658,0.661,0.657
4693,0.652,0.658,0.663,0.658
4694,0.653,0.658,0.664,0.658
4695,0.653,0.658,0.662,0.658
4696,0.651,0.658,0.66,0.657
4697,0.653,0.655,0.661,0.656
4698,0.652,0.657,0.664,0.659
4699,0.652,0.658,0.661,0.654
4700,0.651,0.657,0.66,0.657
4701,0.653,0.658,0.661,0.657
4702,0.652,0.658,0.663,0.657
4703,0.653,0.658,0.659,0.658
4704,0.653,0.657,0.664,0.658
4705,0.651,0.657,0.659,0.659
4706,0.654,0.659,0.659,0.656
4707,0.651,0.655,0.663,0.659
4708,0.651,0.66,0.663,0.657
4709,0.651,0.655,0.663,0.657
4710,0.653,0.657,0.662,0.656
4711,0.651,0.657,0.663,0.656
4712,0.651,0.656,0.66,0.656
4713,0.652,0.657,0.662,0.659
4714,0.651,0.657,0.662,0.659
4715,0.654,0.655,0.663,0.657
4716,0.653,0.657,0.662,0.658
4717,0.653,0.658,0.66,0.658
4718,0.655,0.656,0.664,0.654
4719,0.653,0.658,0.661,0.657
4720,0.651,0.657,0.663,0.657
4721,0.653,0.658,0.661,0.657
4722,0.651,0.658,0.661,0.657
4723,0.651,0.659,0.661,0.656
4724,0.653,0.658,0.662,0.657
4725,0.653,0.657,0.663,0.659
