m1 TID @ 17:35:29,m2 TID @ 17:35:29,m3 TID @ 17:35:29,m1 TID @ 17:35:30,m2 TID @ 17:35:30,m3 TID @ 17:35:30,m3 TID @ 17:35:31,m1 TID @ 17:35:31,m2 TID @ 17:35:31,m1 TID @ 17:35:32,m2 TID @ 17:35:32,m3 TID @ 17:35:32,m1 TID @ 17:35:33,m2 TID @ 17:35:33,m3 TID @ 17:35:33,m1 TID @ 17:35:34,m2 TID @ 17:35:34,m3 TID @ 17:35:34,m1 TID @ 17:35:35,m2 TID @ 17:35:35,m3 TID @ 17:35:35,m2 TID @ 17:35:36,m3 TID @ 17:35:36,m1 TID @ 17:35:36,m2 TID @ 17:35:37,m3 TID @ 17:35:37,m1 TID @ 17:35:37,m1 TID @ 17:35:38,m2 TID @ 17:35:38,m3 TID @ 17:35:38,m1 TID @ 17:35:39,m2 TID @ 17:35:39,m3 TID @ 17:35:39,m1 TID @ 17:35:40,m2 TID @ 17:35:40,m3 TID @ 17:35:40,m1 TID @ 17:35:41,m2 TID @ 17:35:41,m3 TID @ 17:35:41,m1 TID @ 17:35:42,m2 TID @ 17:35:42,m3 TID @ 17:35:42,m1 TID @ 17:35:43,m2 TID @ 17:35:43,m3 TID @ 17:35:43,m1 TID @ 17:35:44,m2 TID @ 17:35:44,m3 TID @ 17:35:44,m1 TID @ 17:35:46,m2 TID @ 17:35:46,m3 TID @ 17:35:46,m1 TID @ 17:35:47,m2 TID @ 17:35:47,m3 TID @ 17:35:47,m1 TID @ 17:35:48,m2 TID @ 17:35:48,m3 TID @ 17:35:48,m1 TID @ 17:35:49,m2 TID @ 17:35:49,m3 TID @ 17:35:49,m1 TID @ 17:35:50,m2 TID @ 17:35:50,m3 TID @ 17:35:50,m1 TID @ 17:35:51,m2 TID @ 17:35:51,m3 TID @ 17:35:51,m1 TID @ 17:35:52,m2 TID @ 17:35:52,m3 TID @ 17:35:52,m1 TID @ 17:35:53,m2 TID @ 17:35:53,m3 TID @ 17:35:53,m1 TID @ 17:35:54,m2 TID @ 17:35:54,m3 TID @ 17:35:54,m3 TID @ 17:35:55,m1 TID @ 17:35:55,m2 TID @ 17:35:55,m1 TID @ 17:35:56,m2 TID @ 17:35:56,m3 TID @ 17:35:56,m1 TID @ 17:35:57,m2 TID @ 17:35:57,m3 TID @ 17:35:57,m3 TID @ 17:35:58,m1 TID @ 17:35:58,m2 TID @ 17:35:58,m1 TID @ 17:35:59,m2 TID @ 17:35:59,m3 TID @ 17:35:59,m1 TID @ 17:36:00,m2 TID @ 17:36:00,m3 TID @ 17:36:00,m1 TID @ 17:36:01,m2 TID @ 17:36:01,m3 TID @ 17:36:01,m1 TID @ 17:36:02,m2 TID @ 17:36:02,m3 TID @ 17:36:02,m1 TID @ 17:36:03,m2 TID @ 17:36:03,m3 TID @ 17:36:03,m1 TID @ 17:36:04,m2 TID @ 17:36:04,m3 TID @ 17:36:04,m1 TID @ 17:36:05,m2 TID @ 17:36:05,m3 TID @ 17:36:05,m1 TID @ 17:36:06,m2 TID @ 17:36:06,m3 TID @ 17:36:06,m1 TID @ 17:36:07,m2 TID @ 17:36:07,m3 TID @ 17:36:07,m1 TID @ 17:36:08,m2 TID @ 17:36:08,m3 TID @ 17:36:08,m1 TID @ 17:36:09,m2 TID @ 17:36:09,m3 TID @ 17:36:09,m1 TID @ 17:36:10,m2 TID @ 17:36:10,m3 TID @ 17:36:10,m1 TID @ 17:36:11,m2 TID @ 17:36:11,m3 TID @ 17:36:11,m1 TID @ 17:36:12,m2 TID @ 17:36:12,m3 TID @ 17:36:12,m1 TID @ 17:36:13,m2 TID @ 17:36:13,m3 TID @ 17:36:13,m2 TID @ 17:36:14,m3 TID @ 17:36:14,m1 TID @ 17:36:14,m1 TID @ 17:36:15,m2 TID @ 17:36:15,m3 TID @ 17:36:15,m1 TID @ 17:36:16,m2 TID @ 17:36:16,m3 TID @ 17:36:16,m2 TID @ 17:36:17,m3 TID @ 17:36:17,m1 TID @ 17:36:17,m1 TID @ 17:36:18,m2 TID @ 17:36:18,m3 TID @ 17:36:18,m1 TID @ 17:36:19,m2 TID @ 17:36:19,m3 TID @ 17:36:19,m1 TID @ 17:36:20,m2 TID @ 17:36:20,m3 TID @ 17:36:20,m2 TID @ 17:36:21,m3 TID @ 17:36:21,m1 TID @ 17:36:21,m1 TID @ 17:36:22,m2 TID @ 17:36:22,m3 TID @ 17:36:22,m1 TID @ 17:36:23,m2 TID @ 17:36:23,m3 TID @ 17:36:23,m1 TID @ 17:36:24,m2 TID @ 17:36:24,m3 TID @ 17:36:24,m1 TID @ 17:36:25,m2 TID @ 17:36:25,m3 TID @ 17:36:25,m1 TID @ 17:36:26,m2 TID @ 17:36:26,m3 TID @ 17:36:26,m1 TID @ 17:36:27,m2 TID @ 17:36:27,m3 TID @ 17:36:27,m1 TID @ 17:36:28,m2 TID @ 17:36:28,m3 TID @ 17:36:28,m1 TID @ 17:36:29,m2 TID @ 17:36:29,m3 TID @ 17:36:29,m3 TID @ 17:36:30,m1 TID @ 17:36:30,m2 TID @ 17:36:30,m1 TID @ 17:36:31,m2 TID @ 17:36:31,m3 TID @ 17:36:31,m1 TID @ 17:36:32,m2 TID @ 17:36:32,m3 TID @ 17:36:32,m1 TID @ 17:36:33,m2 TID @ 17:36:33,m3 TID @ 17:36:33,m1 TID @ 17:36:34,m2 TID @ 17:36:34,m3 TID @ 17:36:34,m1 TID @ 17:36:35,m2 TID @ 17:36:35,m3 TID @ 17:36:35,m1 TID @ 17:36:36,m2 TID @ 17:36:36,m3 TID @ 17:36:36,m1 TID @ 17:36:37,m2 TID @ 17:36:37,m3 TID @ 17:36:37,m1 TID @ 17:36:38,m2 TID @ 17:36:38,m3 TID @ 17:36:38,m1 TID @ 17:36:39,m2 TID @ 17:36:39,m3 TID @ 17:36:39,m1 TID @ 17:36:40,m2 TID @ 17:36:40,m3 TID @ 17:36:40,m1 TID @ 17:36:41,m2 TID @ 17:36:41,m3 TID @ 17:36:41,m1 TID @ 17:36:42,m2 TID @ 17:36:42,m3 TID @ 17:36:42,m1 TID @ 17:36:43,m2 TID @ 17:36:43,m3 TID @ 17:36:43,m1 TID @ 17:36:44,m2 TID @ 17:36:44,m3 TID @ 17:36:44,m1 TID @ 17:36:45,m2 TID @ 17:36:45,m3 TID @ 17:36:45,m1 TID @ 17:36:46,m2 TID @ 17:36:46,m3 TID @ 17:36:46,m1 TID @ 17:36:47,m2 TID @ 17:36:47,m3 TID @ 17:36:47
239,235,253,239,235,253,253,239,235,239,235,253,239,235,253,239,235,253,239,235,253,235,253,239,235,253,239,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,253,239,235,239,235,253,239,235,253,253,239,235,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,239,253,239,235,253,239,235,253,239,235,253,239,235,253,235,253,239,239,235,253,239,235,253,235,253,239,239,235,253,239,235,253,239,235,253,235,253,239,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,239,253,253,239,235,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253,239,235,253
11,112,187,11,112,187,187,11,112,11,112,187,11,112,187,11,112,187,11,112,187,112,187,11,112,187,11,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,187,11,112,11,112,187,11,112,187,187,11,112,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,112,187,11,11,112,187,11,112,187,112,187,11,11,112,187,11,112,187,11,112,187,112,187,11,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,187,11,112,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187,11,112,187
223,179,255,223,179,255,255,223,179,223,179,255,223,179,255,223,179,255,223,179,255,179,255,223,179,255,223,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,255,223,179,223,179,255,223,179,255,255,223,179,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,179,255,223,223,179,255,223,179,255,179,255,223,223,179,255,223,179,255,223,179,255,179,255,223,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,255,223,179,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255,223,179,255
227,189,227,227,189,227,227,227,189,227,189,227,227,189,227,227,189,227,227,189,227,189,227,227,189,227,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,253,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,227,189,227,189,227,227,189,227,227,227,189,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,189,227,227,227,189,227,227,189,227,189,227,227,227,189,227,227,189,227,227,189,227,189,227,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,227,189,227,189,227,227,189,227,227,253,227,227,189,227,227,189,227,227,189,227,227,189,227,227,253,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,189,227,227,157,227,227,189,227,227,189,227
71,25,234,71,25,234,234,71,25,71,25,234,71,17,234,71,17,234,71,153,234,153,234,71,25,234,71,71,25,234,71,25,234,71,25,234,71,25,234,71,153,234,71,25,234,71,145,234,71,25,234,71,25,226,71,17,234,71,17,234,71,25,234,71,145,234,71,25,234,71,25,234,71,25,234,234,71,25,71,153,234,71,25,234,234,71,25,71,25,234,71,153,234,71,153,234,71,153,234,71,25,234,71,153,234,71,25,226,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,17,234,71,25,234,71,17,234,17,234,71,71,25,234,71,25,234,25,234,71,71,25,234,71,17,234,71,25,234,25,234,71,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,234,71,25,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,153,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234,71,25,234
72,199,4,72,207,4,4,72,207,72,207,4,72,207,4,72,207,4,72,207,4,207,4,72,207,4,72,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,72,207,4,64,207,4,4,64,207,64,207,4,64,207,4,4,64,207,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,207,4,64,64,207,4,64,207,4,207,4,64,64,207,4,64,207,4,64,207,4,207,4,64,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,4,64,207,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4,64,207,4
223,115,247,223,115,247,247,223,115,223,115,247,223,115,247,223,115,247,223,115,246,115,246,223,115,246,223,223,115,246,223,115,246,223,115,254,223,115,246,223,115,246,223,115,246,223,115,254,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,246,223,115,223,115,246,223,115,246,246,223,115,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,115,246,223,223,115,246,223,115,246,115,246,223,223,115,246,223,115,246,223,115,246,115,246,223,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,246,223,115,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246,223,115,246
10,189,21,10,189,21,21,10,189,10,189,21,10,189,21,10,189,21,10,189,21,189,21,10,189,21,10,10,189,21,10,189,21,10,189,21,10,189,21,10,189,21,10,189,21,10,189,21,2,189,21,2,189,21,2,189,21,2,189,21,2,189,21,2,189,21,2,189,21,2,189,21,74,189,21,21,74,189,74,189,21,74,189,21,21,74,189,74,189,21,74,189,21,74,189,21,74,189,17,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,189,21,74,74,189,21,74,189,21,189,21,74,74,189,21,74,189,17,74,189,21,189,21,74,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,21,74,189,74,189,21,74,189,21,74,191,17,74,189,17,74,189,21,74,191,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,21,74,189,17,74,189,21,74,189,21,74,189,21,74,189,17,74,189,17
175,223,231,255,223,231,231,255,223,255,223,231,255,223,231,255,223,231,255,223,231,223,231,255,223,229,255,255,223,229,239,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,255,223,231,231,255,223,239,223,231,255,223,231,231,255,223,239,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,229,255,223,229,255,223,229,255,223,229,223,229,255,255,223,229,239,223,229,223,229,239,255,223,229,239,223,229,255,223,229,223,229,255,255,223,229,255,223,229,255,223,229,239,223,229,239,223,229,255,223,229,255,223,229,239,223,229,229,255,223,255,223,229,239,223,229,255,223,229,255,223,231,255,223,231,255,223,231,255,223,231,255,223,231,255,223,229,255,223,229,255,223,229,255,223,229,255,223,229,239,223,229,255,223,229,255,223,229,255,223,229
34,76,62,34,76,46,47,34,76,34,76,47,34,76,47,34,76,47,34,76,47,76,47,34,76,47,34,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,34,76,47,47,34,76,34,76,47,34,124,47,47,34,124,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,34,124,47,124,47,34,34,124,47,34,124,47,124,47,34,34,124,47,34,124,47,34,124,47,124,47,34,34,124,47,34,124,47,34,124,47,34,124,47,38,124,47,34,124,47,34,124,47,34,124,47,47,34,124,34,124,47,34,124,47,34,124,47,34,76,14,34,108,14,34,108,14,34,108,14,34,108,14,34,108,14,34,108,46,34,108,46,34,108,46,34,108,46,34,108,46,34,108,46,34,108,46,34,108,46
119,127,183,119,63,183,183,119,63,119,63,183,119,63,183,119,63,183,119,63,183,63,183,119,63,183,119,119,55,183,119,55,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,127,183,119,63,183,119,63,183,119,63,183,183,119,55,119,63,183,119,63,183,183,119,63,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,55,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,55,183,63,183,119,119,63,183,119,63,183,63,183,119,119,63,183,119,63,183,119,63,183,63,183,119,119,63,183,119,55,183,119,63,183,119,63,183,119,55,183,119,63,183,119,63,183,119,63,183,183,119,63,119,55,183,119,55,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,63,183,119,55,183,119,55,183,119,63,183,119,127,183
226,216,21,226,217,21,21,226,217,226,209,21,226,217,21,226,217,21,226,217,21,217,21,226,217,21,226,226,209,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,21,226,217,226,217,21,226,217,21,21,226,217,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,209,21,226,217,21,226,217,21,226,217,21,226,217,21,226,209,21,226,217,21,209,21,226,226,217,21,226,217,21,217,21,226,226,217,21,226,217,21,226,217,21,217,21,226,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,209,21,226,217,21,226,217,21,21,226,217,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21,226,217,21
221,247,238,221,247,238,238,221,247,221,247,238,221,247,238,221,247,238,221,247,238,247,238,221,247,238,221,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,238,221,247,221,247,238,221,247,238,238,221,247,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,247,238,221,221,247,238,221,247,238,247,238,221,221,247,238,221,247,238,221,247,238,247,238,221,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,238,221,247,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238,221,247,238
230,96,87,230,96,87,87,230,96,230,96,87,230,96,87,230,96,87,230,96,87,96,87,230,96,87,230,230,96,87,230,96,87,230,96,87,230,104,87,230,96,87,230,96,87,230,96,87,230,104,87,230,104,87,230,104,87,230,104,87,230,104,87,230,104,87,230,104,87,230,104,87,230,96,87,87,230,96,230,96,87,230,96,87,87,230,96,230,96,87,230,96,87,230,96,87,230,96,87,230,96,87,230,96,87,238,104,87,238,104,87,238,96,87,238,96,87,238,96,87,238,96,87,238,96,87,238,96,87,238,96,87,96,87,238,238,96,87,238,96,87,96,87,238,238,96,87,230,96,87,230,96,87,96,87,230,230,96,87,230,96,87,230,104,87,230,96,87,230,96,87,230,96,87,238,96,87,238,96,87,87,238,96,238,104,87,238,96,87,238,104,87,239,104,215,239,104,215,239,96,215,239,96,215,239,96,215,239,104,215,239,104,215,239,104,215,239,104,215,239,104,215,239,104,215,239,104,215,239,104,215,239,104,215
255,239,223,255,239,223,223,255,239,255,239,223,255,239,223,255,239,223,255,239,223,239,223,255,239,223,255,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,223,255,239,255,239,223,255,239,223,223,255,239,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,239,223,255,255,239,223,255,239,223,239,223,255,255,239,223,255,239,223,255,239,223,239,223,255,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,223,255,239,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223,255,239,223
133,147,109,133,147,109,109,133,147,133,147,109,133,147,109,133,147,109,133,147,109,147,109,133,147,109,133,133,147,109,133,147,109,133,147,109,133,147,109,133,131,109,133,131,109,135,131,109,135,131,109,135,131,109,135,131,109,135,131,109,135,131,109,135,131,109,135,131,109,135,131,109,151,131,45,45,151,131,151,131,45,151,131,45,45,151,131,151,131,45,151,131,45,151,131,45,151,147,45,151,147,45,151,131,45,151,195,45,151,195,45,151,195,45,151,195,45,151,195,45,151,195,45,151,131,45,151,131,45,151,131,45,131,45,151,151,131,45,151,131,45,131,45,151,151,131,45,151,131,45,151,131,45,147,45,151,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,45,151,147,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,147,45,151,131,45,151,131,45,151,131,45
239,60,255,239,60,255,255,239,60,239,60,255,239,60,255,239,60,255,239,44,255,44,255,239,60,255,239,239,60,255,239,60,255,239,60,255,239,44,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,44,255,239,60,255,239,60,255,239,60,255,239,60,255,239,44,255,255,239,60,239,44,255,239,60,255,255,239,60,239,60,255,239,60,255,239,60,255,239,44,255,239,44,255,239,44,255,239,44,255,239,44,255,239,44,255,239,60,255,239,60,255,239,60,255,239,44,255,239,44,255,239,60,255,44,255,239,239,44,255,239,60,255,60,255,239,239,60,255,239,44,255,239,60,255,60,255,239,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,44,255,239,60,255,255,239,60,239,60,255,239,60,255,239,60,255,239,60,255,239,44,255,239,60,255,239,60,255,239,44,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255,239,60,255
102,161,21,110,161,21,21,110,161,110,161,21,110,161,21,110,161,21,110,161,21,161,21,110,161,21,110,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,21,110,161,110,161,21,110,161,21,21,110,161,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,102,161,21,102,161,21,110,161,21,110,161,21,110,161,21,161,21,110,110,161,21,102,161,21,161,21,102,110,161,21,110,161,21,110,161,21,161,21,110,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,110,161,21,21,110,161,110,161,21,110,161,21,110,161,21,106,161,21,106,161,21,106,161,21,106,161,21,106,161,21,106,161,21,234,161,21,106,161,21,106,161,21,106,161,21,106,161,21,106,161,21,234,161,21,234,161,21
255,255,215,255,255,215,215,255,255,255,255,215,255,255,215,255,251,215,255,251,215,251,215,255,251,215,255,255,251,215,255,251,214,255,255,215,255,255,215,255,255,215,255,251,215,255,251,214,255,251,214,255,251,214,255,251,214,255,255,214,255,255,214,255,255,215,255,255,215,255,255,215,255,255,223,223,255,255,255,251,223,255,251,223,223,255,251,255,255,223,255,255,223,255,251,223,255,255,223,255,255,223,255,255,215,255,255,214,255,255,214,255,255,214,255,255,214,255,255,214,255,255,214,255,255,215,255,251,215,255,251,215,255,215,255,255,255,215,255,255,214,255,214,255,255,255,215,255,239,215,255,239,215,239,215,255,255,239,215,255,239,215,255,239,215,255,239,215,255,255,215,255,255,215,255,255,215,255,255,215,215,255,255,255,255,215,255,255,215,255,255,215,255,233,215,255,253,215,255,253,215,255,253,215,255,253,223,255,253,215,255,253,215,255,253,215,255,237,215,255,237,214,255,237,214,255,237,214,255,237,215,255,237,215
63,110,247,63,78,247,247,63,110,63,110,247,63,78,247,63,110,247,63,110,247,78,247,63,110,247,63,63,110,247,63,110,247,63,78,247,63,78,247,63,78,247,63,78,247,63,78,247,63,78,247,63,78,246,63,78,246,63,110,246,63,110,246,63,78,246,63,78,246,63,78,246,63,78,247,247,63,78,63,78,247,63,78,247,246,63,110,63,110,246,63,78,246,63,110,246,63,78,246,63,78,246,63,110,246,63,78,246,63,78,246,63,110,246,63,110,246,63,110,246,63,110,246,63,78,246,63,78,246,63,78,246,110,246,63,63,78,246,63,78,246,78,246,63,63,110,246,63,78,246,63,78,246,78,246,63,63,110,246,63,78,246,63,78,246,63,110,246,63,78,246,63,78,246,63,110,246,63,110,246,246,63,78,63,78,246,63,110,246,63,110,246,63,110,247,63,110,247,63,78,246,63,110,246,63,78,246,63,78,246,63,78,246,63,110,246,63,110,246,63,110,246,63,110,246,63,110,246,63,78,246,63,110,246
154,111,237,154,111,237,237,154,111,154,111,237,154,111,237,154,111,237,154,111,237,111,237,154,111,237,154,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,237,154,111,154,111,237,154,111,237,237,154,111,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,111,237,154,154,111,237,154,111,237,111,237,154,154,111,237,154,111,237,154,111,237,111,237,154,154,111,237,154,111,237,154,111,237,154,111,237,154,111,173,154,111,173,154,111,237,154,111,237,237,154,111,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,111,237,154,79,237,154,79,237,154,79,237,154,79,237
201,247,181,201,247,181,181,201,247,201,247,181,201,247,181,201,247,245,201,247,181,247,181,201,247,181,201,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,181,201,247,201,247,181,201,247,181,245,201,247,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,247,181,201,201,247,181,201,247,181,247,181,201,201,247,181,201,247,181,201,247,181,247,181,201,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,181,201,247,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181,201,247,181
