,I03,I12
594,0.38,0.23
595,0.38,0.235
596,0.375,0.25
597,0.375,0.235
598,0.38,0.235
599,0.38,0.23
600,0.375,0.24
601,0.385,0.23
602,0.375,0.235
603,0.38,0.235
604,0.39,0.235
605,0.385,0.235
606,0.375,0.235
607,0.38,0.225
608,0.38,0.23
609,0.38,0.235
610,0.385,0.235
611,0.375,0.235
612,0.38,0.245
613,0.385,0.235
614,0.38,0.24
615,0.385,0.225
616,0.385,0.275
617,0.385,0.255
618,0.385,0.23
619,0.38,0.24
620,0.385,0.235
621,0.375,0.235
622,0.385,0.24
623,0.385,0.235
624,0.38,0.235
625,0.38,0.235
626,0.38,0.235
627,0.375,0.25
628,0.38,0.255
629,0.385,0.23
630,0.385,0.235
631,0.375,0.25
632,0.38,0.235
633,0.385,0.24
634,0.38,0.235
635,0.385,0.24
636,0.385,0.24
637,0.385,0.235
638,0.385,0.235
639,0.385,0.24
640,0.38,0.245
641,0.375,0.23
642,0.38,0.235
643,0.385,0.23
644,0.375,0.23
645,0.385,0.23
646,0.38,0.235
647,0.39,0.23
648,0.38,0.225
649,0.38,0.24
650,0.375,0.24
651,0.385,0.24
652,0.38,0.225
653,0.38,0.23
654,0.38,0.26
655,0.38,0.235
656,0.39,0.235
657,0.385,0.235
658,0.39,0.235
659,0.385,0.235
660,0.39,0.23
661,0.375,0.235
662,0.38,0.24
663,0.38,0.24
664,0.38,0.23
665,0.38,0.235
666,0.385,0.235
667,0.375,0.23
668,0.375,0.235
669,0.38,0.245
670,0.38,0.23
671,0.375,0.23
672,0.38,0.235
673,0.39,0.235
674,0.38,0.235
675,0.385,0.24
676,0.385,0.24
677,0.38,0.24
678,0.375,0.24
679,0.38,0.24
680,0.38,0.23
681,0.385,0.23
682,0.385,0.235
683,0.38,0.235
684,0.375,0.235
685,0.38,0.23
686,0.385,0.27
687,0.385,0.235
688,0.375,0.23
689,0.39,0.225
690,0.385,0.23
691,0.375,0.235
692,0.375,0.245
693,0.38,0.235
694,0.38,0.235
695,0.38,0.23
696,0.38,0.235
697,0.385,0.24
698,0.385,0.23
699,0.395,0.235
700,0.38,0.23
701,0.375,0.245
702,0.375,0.24
703,0.375,0.235
704,0.39,0.235
705,0.375,0.25
706,0.38,0.23
707,0.375,0.23
708,0.38,0.235
709,0.385,0.24
710,0.38,0.24
711,0.38,0.235
712,0.38,0.235
713,0.385,0.255
714,0.375,0.235
715,0.38,0.24
716,0.39,0.235
717,0.375,0.24
718,0.39,0.245
719,0.38,0.235
720,0.38,0.255
721,0.385,0.23
722,0.38,0.235
723,0.385,0.23
724,0.38,0.235
725,0.375,0.225
726,0.385,0.235
727,0.385,0.235
728,0.395,0.24
729,0.39,0.235
730,0.385,0.235
731,0.375,0.235
732,0.385,0.235
733,0.375,0.255
734,0.38,0.23
735,0.375,0.225
736,0.385,0.24
737,0.375,0.23
738,0.375,0.24
739,0.38,0.23
740,0.38,0.235
741,0.38,0.25
742,0.395,0.235
743,0.38,0.235
744,0.395,0.24
745,0.38,0.235
746,0.38,0.235
747,0.38,0.26
748,0.38,0.235
749,0.395,0.24
750,0.38,0.235
751,0.38,0.255
752,0.38,0.245
753,0.38,0.235
754,0.38,0.24
755,0.38,0.235
756,0.375,0.235
757,0.38,0.24
758,0.375,0.23
759,0.38,0.24
760,0.385,0.255
761,0.385,0.235
762,0.395,0.235
763,0.38,0.23
764,0.38,0.235
765,0.375,0.23
766,0.375,0.235
767,0.375,0.24
768,0.375,0.235
769,0.385,0.23
770,0.38,0.245
771,0.385,0.235
772,0.375,0.24
773,0.38,0.235
774,0.38,0.24
775,0.385,0.255
776,0.38,0.235
777,0.38,0.24
778,0.385,0.245
779,0.38,0.225
780,0.385,0.235
781,0.375,0.235
782,0.385,0.235
783,0.38,0.24
784,0.385,0.22
785,0.375,0.24
786,0.385,0.24
787,0.375,0.23
788,0.38,0.23
789,0.37,0.235
790,0.375,0.225
791,0.375,0.235
792,0.375,0.235
793,0.38,0.235
794,0.38,0.235
795,0.38,0.23
796,0.385,0.235
797,0.38,0.235
798,0.375,0.235
799,0.375,0.235
800,0.38,0.225
801,0.385,0.23
802,0.38,0.235
803,0.38,0.24
804,0.38,0.235
805,0.38,0.235
806,0.38,0.24
807,0.375,0.23
808,0.375,0.235
809,0.38,0.235
810,0.38,0.23
811,0.37,0.235
812,0.38,0.24
813,0.38,0.235
814,0.37,0.235
815,0.375,0.23
816,0.375,0.235
817,0.38,0.235
818,0.375,0.235
819,0.385,0.235
820,0.38,0.235
821,0.38,0.23
822,0.375,0.235
823,0.375,0.235
824,0.38,0.235
825,0.38,0.23
826,0.375,0.235
827,0.38,0.245
828,0.38,0.235
829,0.375,0.23
830,0.375,0.235
831,0.375,0.23
832,0.375,0.235
833,0.385,0.225
834,0.38,0.24
835,0.375,0.235
836,0.38,0.235
837,0.37,0.23
838,0.375,0.235
839,0.38,0.235
840,0.375,0.235
841,0.38,0.235
842,0.385,0.23
843,0.375,0.23
844,0.4,0.24
845,0.37,0.235
846,0.375,0.24
847,0.38,0.23
848,0.38,0.235
849,0.385,0.225
850,0.38,0.255
851,0.38,0.235
852,0.385,0.24
853,0.375,0.23
854,0.385,0.235
855,0.38,0.235
856,0.38,0.235
857,0.38,0.235
858,0.375,0.3
859,0.385,0.235
860,0.375,0.225
861,0.385,0.235
862,0.375,0.245
863,0.375,0.255
864,0.38,0.24
865,0.375,0.235
866,0.375,0.23
867,0.385,0.235
868,0.375,0.23
869,0.375,0.235
870,0.375,0.23
871,0.375,0.24
872,0.375,0.25
873,0.395,0.235
874,0.38,0.235
875,0.38,0.235
876,0.385,0.24
877,0.375,0.24
878,0.38,0.235
879,0.38,0.235
880,0.38,0.235
881,0.38,0.235
882,0.375,0.235
883,0.38,0.235
884,0.38,0.235
885,0.375,0.245
886,0.37,0.235
887,0.375,0.235
888,0.375,0.235
889,0.385,0.235
890,0.38,0.24
891,0.375,0.23
892,0.38,0.235
893,0.385,0.235
894,0.37,0.23
895,0.38,0.23
896,0.375,0.235
897,0.375,0.235
898,0.375,0.235
899,0.38,0.24
900,0.375,0.235
901,0.38,0.23
902,0.38,0.23
903,0.38,0.24
904,0.38,0.235
905,0.385,0.235
906,0.385,0.235
907,0.375,0.235
908,0.385,0.25
909,0.375,0.24
910,0.385,0.24
911,0.385,0.23
912,0.375,0.235
913,0.375,0.24
914,0.38,0.235
915,0.375,0.235
916,0.385,0.235
917,0.38,0.235
918,0.38,0.235
919,0.375,0.235
920,0.38,0.235
921,0.38,0.235
922,0.375,0.235
923,0.39,0.24
924,0.38,0.235
925,0.38,0.24
926,0.38,0.23
927,0.38,0.235
928,0.385,0.23
929,0.375,0.235
930,0.375,0.23
931,0.38,0.23
932,0.375,0.235
933,0.38,0.23
934,0.38,0.235
935,0.375,0.23
936,0.37,0.24
937,0.375,0.225
938,0.375,0.245
939,0.375,0.23
940,0.38,0.24
941,0.38,0.235
942,0.375,0.235
943,0.38,0.255
944,0.38,0.25
945,0.375,0.24
946,0.375,0.235
947,0.38,0.245
948,0.375,0.23
949,0.375,0.235
950,0.375,0.235
951,0.375,0.23
952,0.375,0.25
953,0.385,0.23
954,0.375,0.235
955,0.375,0.23
956,0.38,0.235
957,0.38,0.235
958,0.375,0.24
959,0.385,0.25
960,0.38,0.235
961,0.38,0.24
962,0.375,0.235
963,0.38,0.255
964,0.38,0.24
965,0.375,0.225
966,0.375,0.235
967,0.375,0.235
968,0.375,0.235
969,0.38,0.235
970,0.38,0.235
971,0.38,0.235
972,0.385,0.23
973,0.37,0.24
974,0.375,0.26
975,0.38,0.235
976,0.375,0.23
977,0.38,0.235
