,I01,I02,I04
418,0.3,0.245,0.235
419,0.3,0.255,0.225
420,0.3,0.24,0.245
421,0.3,0.235,0.245
422,0.3,0.235,0.26
423,0.3,0.235,0.235
424,0.3,0.25,0.245
425,0.3,0.24,0.24
426,0.3,0.24,0.25
427,0.3,0.235,0.235
428,0.3,0.245,0.245
429,0.3,0.25,0.26
430,0.3,0.255,0.23
431,0.3,0.225,0.235
432,0.3,0.24,0.225
433,0.3,0.235,0.24
434,0.3,0.23,0.255
435,0.3,0.235,0.255
436,0.3,0.24,0.235
437,0.3,0.255,0.245
438,0.3,0.24,0.235
439,0.3,0.235,0.24
440,0.3,0.26,0.24
441,0.3,0.24,0.24
442,0.3,0.245,0.23
443,0.3,0.23,0.245
444,0.3,0.235,0.25
445,0.3,0.24,0.24
446,0.3,0.24,0.24
447,0.3,0.245,0.245
448,0.305,0.24,0.25
449,0.3,0.235,0.245
450,0.3,0.26,0.24
451,0.305,0.245,0.225
452,0.3,0.235,0.245
453,0.3,0.24,0.245
454,0.3,0.235,0.245
455,0.3,0.235,0.245
456,0.305,0.245,0.24
457,0.3,0.235,0.24
458,0.3,0.25,0.255
459,0.3,0.25,0.24
460,0.3,0.25,0.24
461,0.3,0.25,0.24
462,0.3,0.24,0.24
463,0.3,0.255,0.23
464,0.3,0.24,0.24
465,0.3,0.23,0.255
466,0.3,0.25,0.23
467,0.305,0.25,0.25
468,0.305,0.245,0.24
469,0.3,0.225,0.24
470,0.3,0.235,0.225
471,0.3,0.235,0.255
472,0.305,0.255,0.245
473,0.3,0.245,0.24
474,0.3,0.255,0.225
475,0.3,0.24,0.235
476,0.3,0.235,0.23
477,0.3,0.245,0.25
478,0.3,0.23,0.235
479,0.3,0.25,0.25
480,0.305,0.24,0.25
481,0.3,0.24,0.235
482,0.3,0.235,0.24
483,0.3,0.24,0.25
484,0.3,0.24,0.235
485,0.305,0.23,0.235
486,0.3,0.23,0.25
487,0.3,0.225,0.24
488,0.3,0.245,0.235
489,0.305,0.24,0.245
490,0.3,0.24,0.235
491,0.3,0.23,0.265
492,0.3,0.24,0.245
493,0.305,0.24,0.24
494,0.3,0.255,0.235
495,0.3,0.235,0.24
496,0.315,0.23,0.255
497,0.3,0.25,0.25
498,0.3,0.235,0.245
499,0.3,0.225,0.25
500,0.3,0.245,0.245
501,0.3,0.23,0.24
502,0.3,0.235,0.24
503,0.3,0.235,0.23
504,0.3,0.24,0.245
505,0.3,0.225,0.22
506,0.3,0.26,0.235
507,0.3,0.24,0.245
508,0.3,0.24,0.25
509,0.3,0.24,0.245
510,0.3,0.23,0.24
511,0.3,0.24,0.235
512,0.305,0.23,0.23
513,0.3,0.25,0.245
514,0.305,0.24,0.235
515,0.3,0.24,0.26
516,0.3,0.25,0.235
517,0.3,0.245,0.255
518,0.3,0.235,0.245
519,0.305,0.24,0.24
520,0.305,0.24,0.255
521,0.3,0.25,0.24
522,0.3,0.245,0.25
523,0.3,0.25,0.24
524,0.31,0.245,0.25
525,0.305,0.24,0.255
526,0.3,0.225,0.25
527,0.3,0.24,0.24
528,0.305,0.24,0.245
529,0.3,0.245,0.235
530,0.3,0.23,0.23
531,0.3,0.25,0.245
532,0.305,0.245,0.25
533,0.3,0.245,0.255
534,0.305,0.25,0.24
535,0.3,0.26,0.235
536,0.3,0.245,0.24
537,0.3,0.24,0.245
538,0.3,0.235,0.235
539,0.3,0.23,0.235
540,0.305,0.25,0.24
541,0.31,0.235,0.245
542,0.3,0.24,0.26
543,0.31,0.245,0.26
544,0.3,0.235,0.25
545,0.3,0.245,0.245
546,0.3,0.235,0.24
547,0.3,0.24,0.24
548,0.305,0.25,0.25
