#,Ion,LET (entrance),DUTs,File,Distance (cm),Time (s),VDD (V),Fluence (cm^-2),Avg I (mA?),Peak I (mA?),A1 SEUs,A2 SEUs,A3 SEUs,,,C1 SEUs,C2 SEUs,C3 SEUs,Dose (rad),TID (krad),SEU XS (1),SEU XS (2)
89,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,120,1.5,3.84E+06,12,12,1928,2004,1958,1.6,1.6,1556,1636,1484,94.74,2.70,5.11E-04,4.06E-04
90,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,120,1.5,3.89E+06,12,12,1990,2067,2065,1.6,1.6,1544,1688,1620,95.97,2.79,5.25E-04,4.16E-04
92,O,1.54,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_O.csv,3,120,1.5,3.89E+06,12,12,1961,2039,1922,1.6,1.6,1552,1740,1696,95.97,2.89,5.07E-04,4.27E-04
93,Ne,2.39,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Ne.csv,3,120,0.6,5.63E+06,0.9,0.9,6403,6678,6731,0.9,0.9,7424,7696,7444,215.56,3.11,1.17E-03,1.34E-03
94,Ne,2.39,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Ne.csv,3,120,0.9,5.66E+06,1.2,1.2,4805,4860,5088,0.9,0.9,5740,5604,5600,216.71,3.32,8.69E-04,9.98E-04
95,Ne,2.39,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Ne.csv,3,150,1.2,7.21E+06,3.5,3.5,5348,5784,5689,1.2,1.2,6028,5928,6128,276.06,3.60,7.78E-04,8.36E-04
96,Ne,2.39,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Ne.csv,3,150,1.5,7.24E+06,12,12,4894,5104,5042,1.6,1.6,5244,5096,5112,277.20,3.88,6.92E-04,7.11E-04
97,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,120,0.6,5.25E+06,0.9,0.9,17672,17851,16051,0.9,0.9,131072*,18200,17872,383.52,4.26,3.27E-03,3.44E-03
98,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,90,0.6,3.62E+06,0.9,0.9,131072*,131072*,131072*,0.9,0.9,131072*,12100,12764,264.45,4.52,#DIV/0!,3.43E-03
99,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,90,0.9,4.03E+06,1.2,1.6,131072*,131072*,131072*,0.9,12,131072*,131072*,14044,294.40,4.82,#DIV/0!,3.48E-03
100,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,60,0.9,2.78E+06,1.2,1.2,6970,7172,7384,0.9,0.9,9440,10036,10376,203.08,5.02,2.58E-03,3.58E-03
101,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,60,1.2,2.83E+06,3.5,3.5,5972,6253,131072*,1.2,1.2,6736,7132,6800,206.73,5.23,2.16E-03,2.43E-03
102,Si,4.56,"G01,G02,G03,F04,F02,F03",data/sram/seu/GF_Si.csv,3,60,1.2,2.86E+06,3.5,3.5,G01 & G03 stopped responding,,,1.2,1.2,G01 & G03 stopped responding,,,208.93,5.44,#DIV/0!,#DIV/0!
103,Si,4.56,"G04,G02,F04,F02,F03",data/sram/seu/GF_Si_new.csv,3,60,1.2,2.81E+06,4,4,5745,5840,,1.6,1.6,6768,7312,7320,205.27,5.64,2.06E-03,2.54E-03
104,Si,4.56,"G04,G02,F04,F02,F03",data/sram/seu/GF_Si_new.csv,3,60,1.5,2.82E+06,8.5,8.5,131072*,6779,,1.6,1.6,23552,25724,26328,206.00,5.85,2.40E-03,8.94E-03
