,F01,F02,F03,F04
635,0.24,0.2,0.19,0.205
636,0.24,0.19,0.195,0.195
637,0.24,0.19,0.225,0.2
638,0.24,0.19,0.195,0.195
639,0.25,0.23,0.205,0.2
640,0.24,0.19,0.2,0.205
641,0.24,0.195,0.2,0.2
642,0.24,0.19,0.22,0.2
643,0.24,0.215,0.2,0.195
644,0.24,0.195,0.22,0.2
645,0.25,0.18,0.21,0.23
646,0.24,0.22,0.19,0.195
647,0.24,0.21,0.195,0.195
648,0.24,0.2,0.2,0.205
649,0.24,0.19,0.195,0.195
650,0.24,0.2,0.19,0.22
651,0.24,0.195,0.19,0.225
652,0.24,0.195,0.195,0.195
653,0.24,0.19,0.245,0.245
654,0.24,0.2,0.195,0.2
655,0.24,0.205,0.22,0.205
656,0.24,0.19,0.19,0.2
657,0.24,0.195,0.2,0.2
658,0.24,0.245,0.19,0.2
659,0.24,0.235,0.195,0.205
660,0.24,0.195,0.2,0.2
661,0.24,0.205,0.195,0.205
662,0.24,0.2,0.195,0.255
663,0.25,0.195,0.2,0.19
664,0.24,0.205,0.245,0.24
665,0.24,0.21,0.21,0.2
666,0.24,0.19,0.205,0.19
667,0.24,0.195,0.21,0.23
668,0.24,0.23,0.2,0.2
669,0.24,0.22,0.195,0.23
670,0.24,0.2,0.19,0.225
671,0.24,0.19,0.21,0.215
672,0.24,0.22,0.195,0.21
673,0.24,0.195,0.205,0.195
674,0.24,0.235,0.205,0.195
675,0.24,0.195,0.2,0.2
676,0.24,0.195,0.195,0.2
677,0.24,0.24,0.195,0.275
678,0.24,0.215,0.2,0.195
679,0.24,0.21,0.205,0.19
680,0.24,0.21,0.195,0.205
681,0.24,0.19,0.22,0.2
682,0.24,0.205,0.21,0.205
683,0.24,0.215,0.205,0.195
684,0.24,0.185,0.195,0.19
685,0.24,0.22,0.19,0.19
686,0.24,0.195,0.195,0.21
687,0.24,0.205,0.21,0.22
688,0.24,0.225,0.275,0.195
689,0.24,0.2,0.19,0.21
690,0.24,0.23,0.2,0.21
691,0.24,0.205,0.21,0.19
692,0.24,0.2,0.19,0.195
693,0.24,0.185,0.195,0.2
694,0.24,0.205,0.185,0.195
695,0.24,0.215,0.19,0.195
696,0.24,0.21,0.205,0.195
697,0.24,0.19,0.22,0.2
698,0.24,0.19,0.2,0.205
699,0.24,0.21,0.195,0.2
700,0.24,0.215,0.195,0.215
701,0.24,0.2,0.2,0.2
702,0.25,0.195,0.195,0.25
703,0.24,0.22,0.195,0.195
704,0.24,0.21,0.22,0.19
705,0.24,0.195,0.215,0.2
706,0.24,0.205,0.195,0.19
707,0.24,0.195,0.195,0.21
708,0.24,0.2,0.2,0.19
709,0.24,0.205,0.195,0.19
710,0.24,0.21,0.19,0.19
711,0.24,0.19,0.2,0.205
712,0.24,0.195,0.225,0.21
713,0.24,0.2,0.2,0.195
714,0.24,0.205,0.19,0.27
715,0.24,0.2,0.2,0.23
716,0.24,0.185,0.195,0.235
717,0.24,0.195,0.215,0.195
718,0.24,0.19,0.185,0.195
719,0.24,0.2,0.2,0.21
720,0.24,0.19,0.2,0.195
721,0.24,0.235,0.21,0.2
722,0.24,0.205,0.2,0.22
723,0.24,0.195,0.2,0.225
724,0.24,0.205,0.19,0.2
725,0.24,0.195,0.2,0.19
